lemma,stavek1,stavek2,oznaka (label),stavek_1_pomen,stavek_2_pomen;;;;;;;;
"kri,Kri je iz glave pohitela v noge in tla so se nevarno zamajala.,""Bolezni srca so dolgo časa povezovali z določenimi dejavniki telesnega tveganja, kot so visok krvni pritisk, povišan holesterol v krvi, kajenje in premalo gibanja."",F,9,3";;;;;;;;
kri,Bistre vode smaragdne reke Soče je kri padlih vojakov v 1. svetovni vojni obarvala rdeče.,Pri srčnem popuščanju srce ne more več črpati dovolj velike količine krvi skozi telo za presnovne potrebe.,F,7,3;;;;;;;;
"kri,""Obstaja le zelo šibka povezava med ravnjo spolnih hormonov v krvi in človeškim spolnim vedenjem, spolne prestopke pa le zelo redko lahko pripišemo prevelikemu spolnemu nagonu."",""Ob spomeniku zagledamo velikanski daljnovodni steber, ki kaže, da sta današnja kri civilizacije postali elektrika in ekonomija."",F,3,1";;;;;;;;
"kri,""V takih primerih sem poskušal uš neopazno vreči na tla in ji s čevljem stopiti za »vrat«, da bi se zadušila, ali da bi ji počil nabreknjen trebuh, poln moje krvi."",""Novi lastniki jim odvzamejo vse dokumente in jih prisilijo v prostitucijo, delo v tekstilni, gradbeni in rudarski industriji, v služabništvo, lažne poroke ali jih uporabijo za rezervne dele v trgovini s človeškimi organi, tkivom in krvjo."",T,3,3";;;;;;;;
"kri,""Razlog zakaj je, ko sem prišel na krvodajalsko akcijo so mi avtomatično hoteli znova vzeti pol litra krvi, kar sem pač seveda odklonil, saj s svojo krvjo razpolagam jaz in ne nekdo drug."",""Pri Židih je v talmudskem obdobju veljalo, da Lilit ponoči zapelje moške, rodi otroke, ki jim nato popije kri, pozneje je postala simbol vamp zapeljivke, ki se je pritihotapila, rdečelasa, jasno, v Michelangelovo Sikstinsko kapelo, zlezla v Ticijanovo glavo in v pariški Notre Dame."",,3,";;;;;;;;
"kri,""Ljudje v tem obratu imajo tudi do 400% preveč kadnija v krvi ,po pričanju bolnega iz Cinkarne."",""Tistim pa, ki so jo sprejeli, je dala moč, da postanejo Božji otroci, vsem, ki verujejo v njeno ime in se niso rodili iz krvi ne iz volje mesa ne iz volje moža, ampak iz Boga."",,3,";;;;;;;;
"kri,""Na mestu, kjer je padel, je na ledu ostal majhen madež razmazane krvi."",""Hitri navali krvi odraščajoče dobe so omogočili čudo, da je lahko po koncu normalnega občevanja začel znova, tokrat per angostam viam."",,3,";;;;;;;;
"čist,""Jelenov medaljon z divjačinsko omako (19,50 evra) je bil spet čisto druga pesem: meso slastno in mehko, čista aromatika jedi je znova in znova napadala čutila."",""Vse, kar veš o meni, ni nujno tudi čista resnica do zadnje podrobnosti."",F,16,2";;;;;;;;
"čist,""Johnson se je volivcem prikupil z obljubami, da bo v svojem mandatu poskrbel za 24-urno policijsko varovanje mesta, za urejen transport, čiste zelene površine, za lažji dostop občanov do stanovanj in da bo podpiral prevoz s kolesi."",""Nenehno so z vseh strani prihajale runde zanj in za tiste ob njem, iz čistega veselja, iz globoke hvaležnosti, in ker so čutili, da je prišel mednje fant njihove sorte, ki želi in hoče kot oni, več in več."",,14,";;;;;;;;
"čist,""V zadnjem času se tukaj kar veliko gradi, predvsem poslovne prostore in objekte, namenjene skladiščnim dejavnostim, servisnim službam, storitvam in dejavnostim s čisto proizvodnjo."",""Čisti izid iz poslovanja sicer iz že omenjenih razlogov (predvsem cene kerozina) odstopa od planiranega za 400 tisoč evrov, uprava družbe ocenjuje, da bo ob koncu leta dosegla rezultat okoli pozitivne ničle oziroma minimalno pod tem kakor je predstavila v oceni poslovanja za leto 2008."",,,";;;;;;;;
"čist,Po tehnologiji za tiste čase najsodobnejši most je hkrati lep primer slogovno čistega secesijskega oblikovanja javnega prostora.,""PRIDIH DOMAČNOSTI Čiste linije vnašajo v prostor občutek reda, les v svetlih tonih pa ustvarja prijeten občutek domačnosti in topline."",,,";;;;;;;;
"čist,""Vladala je družbena zgodba o nastanku, kakršno piše čista liberalna utilitaristična politična ekonomija";" individualno tekmovanje je ustvarilo vse vrste kombinacij učinkovitega živalskega stroja."",""Lepa, čista in bela koža obljublja globoka čustva in srečo v ljubezni (ker je povezana z Venero, planetom ljubezni)"; temna koža napoveduje izdajo in krivico, ki jo bo povzročil speči;" nagubana obljublja dolgo življenje."",F,,14";;;;;
"čist,""Vse Can-Amove štirikolesnike namreč poganjajo štiritaktni motorji, ki so precej čistejši za okolje od ekološko spornih dvotaktnikov."",""Sesirjena omaka bo zopet gladka, če jo po kapljicah primešate žlici kisa, ki ste ga vlili v čisto skledo."",F,9,14";;;;;;;;
"čist,Ali v današnjem svetu sploh še lahko obstaja čista in neomadeževana misel?«,""Prihodki so znašali dobri dve milijardi evrov, čisti dobiček pa 28 milijonov evrov."",F,,";;;;;;;;
"svet,""Jaz bi bil za to, da se to kljub vsemu naredi na majski seji in da je junijska seja parlamentarne skupščine Sveta Evrope, na kateri bo govoril predsednik Republike Slovenije, je idealna priložnost za to, da se javno sporoči, da je Slovenija to ratificirala."",Upravni svet Slovenskega stalnega gledališča je 28. septembra odstopil in sklical Skupščino članov.,T,7,7";;;;;;;;
"svet,""Kljub vsem prepovedim je bil ribolov sveta dejavnost, saj je Ozirisa in Horusa, ki ju je razkosal Set, Izidi uspelo oživiti prav po zaslugi ribičev, ki so Horusovo vsevidno oko našli v mreži, Ozirisove ude pa v pletenih vršah."",""V zadnje obdobje okrog Kamnega Vrha sodi poslikava prezbiterija v cerkvi sv. Ahaca nad Malim Ločnikom blizu Turjaka, kjer nas kar nekaj detajlov spominja bodisi na Friderikove rešitve v Deutschgriffnu, bodisi na podrobnosti na podobi Svete nedelje v crngrobski cerkvi, ki vsebuje sorodne detajle s sv. Ahacem in z Deutschriffnom (ženska figura s pečo v prizoru Marije zavetnice s plaščem, enaka figura na Deutschgriffnu v prizoru iz stare zaveze in figura v prizoru žetve v Crngrobu, ženski figuri v prizoru ljubimkanja in zapeljevanja na Crngrobu itd.)."",,,2";;;;;;;;
"svet,""Celo ti, Atlas, pol človek, pol bog, si uničil najlepše mesto na svetu."",""Povsod po svetu se stotine industrijskih kemikalij, imenovanih organoklorini kopiči v okolju, v hrani in v naših telesih."",T,6,6";;;;;;;;
"svet,""V obeh primerih pa je pomembno, da je seznanjen z oceno strokovnega sveta in to je bil namen, za splošno izobraževanje o kvalitetah enega ali drugega tipa vrtca."",""On je jadral že prej in vas tudi vpeljal v morski svet, kajne?"",F,7,";;;;;;;;
"svet,""Robiču se torej obeta preizkušnja, ki jo nekateri primerjajo s podvigi drugih slovenskih ekstremistov, kot so Dušan Mravlje, Martin Strel in Davo Karničar, drugi spet trdijo, da je RAAM najtežja športna preizkušnja na svetu in je v tem pogledu nekaj posebnega."",""Po Svetem pismu nam govori sam Bog (prim. Katekizem, str. 27-51)."",F,,2";;;;;;;;
"svet,Kmalu pa bo svet izvedel še več o manekenkinem zasebnem življenju.,""Če bodo zdravniki zaslužili manj ali toliko kot lani, potem bo konec sveta."",,,";;;;;;;;
"svet,""Mestni svetnik iz vrst zelenih Miha Jazbinšek je za mestni svet pripravil predlog, ki omogoča takojšnjo rešitev tega problema, izhaja pa iz pred letom dni sprejetega sklepa mestnega sveta o zemljiškoknjižnem urejanju lastništva za zemljišča, ki niso v lasti MOL, čeprav je ta v zemljiški knjigi še vedno vpisan kot lastnik."",""Za poročanje o delih sveta, kjer nimamo dopisnika, se obračamo na novinarje v redakciji, ki se s temi področji ukvarjajo."",F,7,6";;;;;;;;
"material,Seveda so mu namenili nekaj novih materialov in barv v notranjosti.,""Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna. ex 3403 Mazalni preparati.,ki vsebujejo naftno olje ali olja, dobljenih iz bituminoznih mineralov, pod pogojem da predstavljajo manj kot 70% po teži Operacije rafiniranja in/ali en ali več specifičnih procesov.8"",,,";;;;;;;;
"material,""Nič načrtov, ki laika prepričajo, da je arhitekturno nepismen, nič bolj ali manj posrečenih fotografij zgradb, nič pompoznih interpretacij in citatov, samo veliko odličnih maket, prerezov prostorov in zanimivih detajlov v velikem formatu, enotnih materialov in barv, veliko preglednih računalniških animacij in simulacij in, verjetno najpomembnejše, na eni strani Fosterjeve skice delovnih osnutkov, končnih podob in detajlov, torej njegov personal tuch, ter na drugi strani mnogo zanimivih filmov, od tridimenzionalne velike projekcije o prihodu in odhodu iz novega mednarodnega letališča v Honhkongu, do Fosterjevih konkretnih in podrobnih komentarjev o iskanju rešitev za obnovo raznih zgodovinskih zgradb, nemškega Reichstaga na primer, ter v dobri angleški maniri nepristranskega, vedno vsaj malo humornega dokumentarca o osupljivem skrivnem življenju Millenum bridga."",#NAME?,,,";;;;;;;;
"material,""Cene programov v vrtcih se oblikujejo na podlagi stroškov dela, materiala in storitev ter stroškov živil za otroke."",""Tako je njegova delavnica največkrat kar kombi, v katerem vozi tudi material."",,,";;;;;;;;
"material,""Leta 1993 so na sestanku znanstvenih in socialno-ekonomskih komitejev predstavniki večjega števila dr-žav opozorili na pomanjkanje ustreznih mednarodnih predpisov, ki bi urejali ravnanje s premeščenim mor-skim materialom na območju Sredozemlja."",""3809 Sredstva za dodelavo, nosilci barv, sredstva za pospeševanje barvanja in fiksiranje barvil ter drugi izdelki (npr. sredstva za apreturo in jedkanje), ki se uporabljajo v tekstilni, papirni, usnjarski in podobnih industrijah, ki niso omenjeni in ne zajeti na drugem mestu Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 50% cene izdelka franko tovarna."",,,";;;;;;;;
"material,""O folklornih kostumih so bistveno več vedeli člani Folklorne skupine Biroussans iz Francije, ki niso bili uniformno kostumirani (podvajal se je sicer kroj in material nekaterih oblačilnih kosov, a dokaj neopazno)."",""V postopku najprej izločijo DNK, nato pa ji primešajo posebne kemikalije, ki povzročijo, da se ponavljajoči se vzorci namnožijo, tako da dobijo dovolj materiala za analizo."",,,";;;;;;;;
"material,""- vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna, in"",""Ker je hiša skoraj brez zunanjih sten, zelo minimalistična in zgrajena iz diskretnih materialov (betona, lesa, stekla in surovega kamena) se povsem zlije s pokrajino."",,,";;;;;;;;
"material,""Erodirani material odnaša navzdol, kjer se lahko odloži in povzroči nastanek debelih, večslojnih, mladih, *koluvialno-deluvialnih tal."",""Do oddaje materiala, do tistega datuma, za katerega sva se zmenila z modelom, da dam kaj od sebe, je ostalo, če se prav spomnim, cirka deset dni, kar je bilo seveda premalo za vso serijo, v desetih dneh mi ne bo ratalo dokončat vsega, ampak če bi jih naredil vsaj kake tri, štiri, pa da bi bile okej, bi si že izboril kak dodaten dan, to sem vedel, da si je človek, če je bil pameten, pustil rezervo."",,,";;;;;;;;
"mrtev,""Brez navedenih ukrepov, brez vladne pomoči in brez povečanja števila policistov in radarjev ne bo mogoče doseči večjega reda in zmanjšanja števila prometnih nesreč in mrtvih na naših cestah."",""Morda boste presenečeni, toda on je ocenil, da panarabizem danes živi le še na kulturnem in jezikovnem področju, njegov politični del pa je že zdavnaj mrtev."",F,9,";;;;;;;;
"mrtev,""Ko sem bil mrtev je zasnovan na motivu moža, ki napove svojo smrt, potem pa izgine in se ponovno pojavi z lažno identiteto."",""Vstal bom od mrtvih, toda kot povsod, je tudi tukaj še nekaj."",T,9,9";;;;;;;;
"mrtev,Da je našel mrtvo žensko v nekakšnem vodnjaku ob nekakšni zapuščeni hiši?,""Udarec je bil zanj usoden, saj je obležal mrtev pred grajskimi vrati."",T,9,9";;;;;;;;
"mrtev,živega bi trebalo v krsti zakopat da bi ga ćrvi živega parali-uh to bi pa ble muke ko bi moral gledati svoje gnilo razpadajoče telo.če pa že moje želje ne bodo uresničene pa upam da bo zaprt v celico h kakemu ljudožercu-in da bo ta po svoji potrebi z njega odstranjeval meso nazadje bo z napol mrtvega jedel še možgane in potem bo ta vlačuga satanska CRKNILA.,""- Neaktivni kvas";" drugi enocelični mikroorganizmi, mrtvi: 2102.2001 -- Neaktivni kvas 32 2102.3001 in - Pripravljeni pecilni praški 40 2102.3009"",,9,";;;;;;;
"mrtev,""Obnovljene Kovačeve domačije v Nedelici ne doživljamo kot mrtvega in zaprašenega muzeja, ampak kot pravi dom."",""Nasproti mu je z osebnim avtom pripeljal 47-letni voznik, ki naj bi v bližini Kulturnega doma Srečka Kosovela na ozki cesti zapeljal v levo in s prednjim delom avta zbil mopedista, za katerega sta bila trk in padec usodna, saj je obležal mrtev."",F,,9";;;;;;;;
"mrtev,""Njegovo vedenje o mrličih, in v življenju jih ni videl malo, je govorilo, da sta mrtva dan, morda dva."",""Svoj prvi nastop so odigrali v Big star pubu Novo mesto, kjer so nastopili kot predskupina Društva mrtvih pesnikov."",,9,";;;;;;;;
"mrtev,""Ličinke se razvijajo v mrtvih vejah, nekoliko vkopanih v zgornjo plast zemlje."",""Torej vseh 300 mrtvih na cesti je bilo nezaposlenih oz. na dopustu oz popoldan / med vikendom, v šoli oz. v penziji?"",F,2,9";;;;;;;;
"nosilec,""Če zgoraj navedena vsota ne dosega zneska izplačevane slovenske pokojnine, Zavod za pokojninsko in invalidsko zavarovanje Slovenije zavarovancu, ki ima stalno prebivališče v Republiki Sloveniji, še naprej izplačuje nespremenjeni znesek pokojnine, nosilec zavarovanja v Bosni in Hercegovini pa zavodu v Republiki Sloveniji nakazuje svojo, na novo odmerjeno pokojnino."",""Vlagatelj oziroma nosilec kmetijskega gospodarstva, naveden v vlogi, mora biti torej tudi lastnik bančnega računa, ki je naveden v vlogi."",,,";;;;;;;;
"nosilec,""Njene redne stranke so članice kluba nosilcev čevljev Berluti Swann Club, ki združuje 120 članov."",""Z ženo sva solastnika podjetja, oba nosilca dejavnosti in člana OZS."",,,";;;;;;;;
"nosilec,""Sem se uvrščajo: diagram povezav (iskanje rešitev iz vzročno-posledičnih povezav v kompleksnih problemih)"; metoda KJ ali diagram podobnosti (zbiranje različnih podatkov o nekem problemu in porazdeljevanje po skupinah na osnovi podobnosti sorodnosti); sistematični diagram (istočasni prikaz končnega cilja in prikaz posameznih delnih nalog, ki jih je za dosego cilja potrebno opraviti; vsak nosilec naloge lahko razume celoten proces doseganja končnega cilja in njegov položaj v njem); matrični diagram (prikaz dveh parametrov na dveh oseh in iskanje razmerij v določanju ciljev, strategij in potencialnih problemov); matrična podatkovna analiza (analiza obsežnih podatkov v matričnem diagramu za njihovo lažje razumevanje); programska karta procesa odločanja (pomaga opredeliti korake in izide posameznih stopenj v procesu sprejemanja odločitev); usmerjevalni diagram (diagram puščice;" usmerja dnevno ukrepanje in nadziranje rezultatov)."",""Eksperimentalno gledališče Balabine Baranovič (19551967), Gledališče Ad hoc Drage Ahačič(19581964) in najizraziteje Oder 57 (19571964) so nosilci novega vala in vir inovativnega navdiha tudi za institucionalna gledališča ...«"",,,"
"nosilec,""Tretjič: prispevek od kmetijskih površin, ki ga plačujejo nosilci kmetijskega gospodarstva od določenih kmetijskih površin in prispevek do čebeljih družin, ki ga plačujejo nosilci kmetijskega gospodarstva od čebeljih družin."",""Kar zadeva poročne prstane, so pomenili ljudem bolj kot nakit predvsem znamenje, da je nosilec ali nosilka poročen/-a, češ: »Zlat poročni prstan pa vedno nosim.«"",,,";;;;;;;;
"nosilec,""• • • • • • • barvilo Weigertov železov hematoksilin, barvilo alciansko modrilo, barvilo pikrofuksin, 70 %, 96 % in 100 % etanol, ksilen, nadomestek ksilena, sredstvo za pokrivanje obarvanih tkivnih rezin, • krovna stekla, • • • • • • • • neobarvani histološki preparati, plastični nosilec za sušenje preparatov, staničevina, fotografska kadička, pinceta, steklena posoda za reagente (vsaj 16 x), držalo za objektna stekla, mikroskop."",""Nosilec umetnosti se nikjer ne bo osebno silil v ospredje in ne bo hotel sodelovati, še celo pa se mu zdi, da nikakor ni pristojen za izboljševanje - če izvzamemo nekaj sentimentalnih obrobij."",,,";;;;;;;;
"nosilec,""To pomeni tudi, da je nosilec pravice zahtevati denarno doplačilo tisti imetnik deležev prevzete/prenosne družbe, ki ostaja član nove/prevzemne družbe, torej tisti, ki prevzame deleže te družbe."",""organizacijo ponudbe podatkovnih zbirk na elektronskih nosilcih z neposrednim dostopom v dogovoru z njihovimi proizvajalci,"",,,";;;;;;;;
"nosilec,""Navedeni rok je kratek v smislu izvedbe postopkov za umestitev posegov v prostor, prav tako pa tudi v smislu planiranja potrebnih sredstev v Načrtih razvojnih programov Proračuna Republike Slovenije ter izvedbenih programov nosilcev aktivnosti."",rance Prešeren je najpomembnejši predstavnik slovenske literarne romantike in njen edini pravi nosilec.,,,";;;;;;;;
"oblika,""Osnovna enačba je preprosta: energija, ki jo vnesemo v telo v obliki hrane, mora biti enaka porabi."",""Za spreminjanje oblike segmenta poti med ustvarjanjem poti ali kadarkoli pozneje uporabljate orodja Pen za določitev smerne črte in smerne točke, ki izhajata iz sidrnih točk."",F,,";;;;;;;;
"oblika,""akreditacija aplikativne programske opreme, ki zagotavlja samo določeno funkcionalnost varstva dokumentarnega in arhivskega gradiva v digitalni obliki (glej tabela 3.2.3."",Skupina pod vodstvom Johna Anthonyja Westa je s seizmografom zaznala votle prostore pravilnih oblik nekaj metrov pod tlemi med šapama na obeh straneh sfinge.,F,5,8";;;;;;;;
"oblika,""To presežnost pa so zelo kmalu, takoj ob nastanku zapora, ugotovili bodisi v obliki dejanskih praks bodisi v obliki načrtov, ni nastala šele pozneje, kot drugoten učinek."",""Je raziskovalka okusov, pa tudi ženska, ki se ji zdi zelo pomembna oblika."",,,8";;;;;;;;
"oblika,""Ogroženost izpolnitve prevzete (veljavne) obveznosti primerjalne zakonodaje še danes štejejo za tveganje, ki pomeni razlog in je prvi pogoj za dopolnilno varovanje interesa upnikov z institutom pravice zahtevati zavarovanje";" npr. prvi odstavek § 22 nUmwG (ki velja kot splošno pravilo za združitve različnih pravnoorganizacijskih oblik nosilcev podjema), prvi odstavek § 226 aAktG, drugi odstavek § 96 aGmbHG v zvezi s prvim odstavkom § 226 aAktG, prvi odstavek 523. člena ZTD, prvi odstavek 522. člena ZGD."",""Seveda je trud za obliko in prikupnost potreben, ampak oddajo naredijo ljudje."",,,";;;;;;;
"oblika,""Za dosego čim boljše sporočilnosti socialnih oglasov za promocijo strpnosti je v prvi fazi potrebno definirati različne oblike diskriminacije in nestrpnosti, razpoznati najbolj manifestativne oblike, ki se pojavljajo v Sloveniji ter definirati vzroke za njihov nastanek."",""Umetne solze so na voljo v obliki kapljic, ki vsebujejo hipromelozo, ali gelov, ki vsebujejo karbomer (gl. SREDSTVA ZA MAZANJE OČI, str. 181)."",,,";;;;;;;;
"oblika,""Njegovo odkrivanje je zelo zapleteno, saj je v nasprotju s tradicionalnimi oblikami kriminala zelo spremenljiv in se prilagaja spremembam v gospodarstvu."",""Ni namreč res, da je gora, ki ima iz različnih gledišč različne obrise, objektivno brez oblike oziroma da ima neskončno oblik."",,,";;;;;;;;
"oblika,""Razlike med proaktivno in reaktivno rabo besednih kock v smislu poudarka na obliki zadevajo predpripravo dejavnosti in odločite, kako dolgo naj traja, medtem ko razlik med proaktivno rabo in eksplicitnim poučevanjem slovnice, če tega seveda ne pojmujemo kot metode, skoraj ni."",""Paket dom in družina je paket zavarovanj, ki vsebuje najpomembnejše oblike zavarovanja za dom in družino: požarno zavarovanje, potresno zavarovanje, osnovno in nadstandardno stanovanjsko zavarovanje ter nezgodno zavarovanje članov gospodinjstva."",,,";;;;;;;;
"ura,""Abonma lahko izberete pri balagajni gledališča, ki bo v času vpisa abonmajev odprta vsak delavnik od 10. do 12. in od 16. do 18. ure (ob sobotah samo dopoldne)."",""Že res, da lahko plačujemo, nakazujemo ali naročamo bančne storitve 24 ur na dan, sedem dni v tednu, a vse skupaj je le deloma prilagojeno novemu okolju."",T,8,8";;;;;;;;
"ura,PTUJ * Danes bo ob 17. uri v poročni dvorani Mestne hiše premiera kratkega filma Mostovi Ptuja.,""Nivojski pouk pomeni, da pri treh predmetih za vse ure ločimo otroke v tri skupine."",F,2,1";;;;;;;;
"ura,od 1. 6. do 15. 9. vsak dan ob 10. in 16. uri ali vse dni v letu po predhodnem naročilu.,""Okoli 13.45 ure so istrski policisti prejeli klic, da omenjeni potapljač ni priplaval na površje."",F,8,2";;;;;;;;
"ura,""Kateri so to, bo znano tik pred koncem, 24 ur pred velikim finalom, morda pa bo v njihovih vrstah tudi še aktualna misica Iris Mulej , ki je prav tako malce zamujala, saj je »ful zaposlena."",""Medtem ko se je pripravljal na prvi vzlet, je pilot poročal o težavah z merilcem zunanje temperature";" polet so za uro prestavili, merilec pa popravili, je dejala predstavnica Spanaira Susana Vergara ."",,,";;;;;;;
"ura,""Izjema je sobota, ko je odhod iz Pariza ob 11. uri in prihod v Maribor ob 13.30."",Voznik prevozi pot v 3 urah s povprečno hitrostjo 50 km/h.,,,";;;;;;;;
"ura,""Medtem ko si je prislanjal slušalko k ušesu, je s pogledom ošinil uro."",Na današnji okrogli mizi v sinagogi bodo ob 18. uri govorili o slovensko-hrvaški razmejitvi v Istri.,F,7,";;;;;;;;
"ura,""Če so ceste mokre, je omejitev izven poseljenih predelov 80 km/uro, na regionalnih cestah in avtocestah brez cvestnine 100 km/uro, na pravih avtocestah pa 110 km/uro."",""Obdelovali so me polne tri ure in gonil sem naprej pravljico, ki jo je začela Madeleine."",,,";;;;;;;;
"okrepiti,""Vendar pa, ste vedeli, da lahko s pravo mešanico vitaminov ob pravem času občutno okrepite svojo življenjsko moč in izboljšate svoje počutje?"",""Drugi, manjši Ljubljanski četniški odred, je bil že pred tem poslan v Grčarice, da bi okrepil tamkajšnji odred, vendar do vasi ni mogel več priti."",,,";;;;;;;;
"okrepiti,""V razredu lahkih gospodarskih vozil bosta k prodaji doprinesla novi vito in viano, okrepili bodo tudi sodelovanje s podjetjem Adria Mobil, ki izdeluje nadgradnje za počitniška vozila."",""Samoučinkovitost (self-efficacy) je konstrukt, ki izhaja iz kognitivno behavioristične usmeritve"; opredeljen je kot posameznikovo prepričanje o lastnih zmožnostih za ravnanje v prihodnjih situacijah oziroma za izvedbo dejavnosti, ki vodi do cilja v določeni nalogi (Bandura, 1977; Schunk, 1990);" otrokova pričakovanja glede lastnih zmožnosti namreč v pomembni meri določajo njegovo vedenje - pogojujejo izbiro dejavnosti, poleg tega pa vplivajo tudi na motiviranost, prizadevanje in vztrajnost glede na težavnost naloge ter posledično tudi na uspešnost opravljene naloge, kar pa okrepi zaznavo samoučinkovitosti pri nadaljnjih (novih) dejavnostih."",,,";;;;;
"okrepiti,""Ker so slovenske čebele ogrožene, je ČZS začela kampanjo Ohranimo čebele!, s katero želi povečati zavedanje vseh ljudi o pomenu čebel za naravo in življenje ljudi ter okrepiti prizadevanja za njihovo varovanje in ohranitev."",""Vse odtlej je nemško prizadevanje veljalo kovanju političnih in gospodarskih zavezništev, ki bi Nemčijo spet okrepila."",,,";;;;;;;;
"okrepiti,""Da pa bo ostalo samo pri kašljanju ali nahodu, je nujno potrebno okrepiti obrambne sile telesa, zlasti sluznice dihalnih organov (glejte tudi stran 77)."",""Dvajsetkrat na dan se sklonim, da z dna hladilnika vzamem kakšno sladico ali kos sira, ali kakšen ocvirk, pa se mi trebušne mišice nikakor ne okrepijo."",,,";;;;;;;;
"okrepiti,""Po legendi so bili tu še starodavni druidi in pred njimi kdo ve kako imenovani iskalci, ki so s svojim bivanjem ta prostor dodatno duhovno okrepili in obogatili.«"",""ODA, PMSK, FASC. 3.2.8/6, PISMO PREDSEDNIKA UPBJKD UOP IN PREDSEDSTVU CONE 7 DNE 12. 12. 1951. PREDSEDNIK CONE PALUTAN JE TAKO ŠE OKREPIL SVOJO VLOGO PRI IZVAJANJU BEGUNSKEGA NASELITVENEGA NAČRTA."",,,";;;;;;;;
"okrepiti,""Zato pozivam vse socialne partnerje, vlado, sindikate, delodajalce, civilnodružbene organizacije in vse druge udeležence, da okrepijo prizadevanja za dialog, predvsem za socialni dialog."",Po prihodu v zahodni del Beneške Slovenije je sovražnikovo letalstvo okrepilo izvidništvo in iskanje divizijskih enot.,,,";;;;;;;;
"okrepiti,""Ko boste spoznali, da je sonce sreče začelo sijati tudi na vaše življenje v dvoje, se bo ljubezen le še okrepila."",Letos je naš cilj regijsko okrepiti obstoječo prodajno mrežo in ponuditi naše storitve še večjemu številu komitentov.,,,";;;;;;;;
"sistem,Celoten cilj naloge je razvoj in posodabljanje informacijskega sistema in zagotavljanje dostopa do enotne baze izbranih podatkov o otrocih in mladini zunanjim uporabnikom na spletnem portalu IRSSV.,""Nadalje ne preprečujejo uporabe sistema cenovnih nado-mestil, ki se uporabljajo pri izvozu kmetijskih izdelkov v skladu z določbami Sporazuma."",,,";;;;;;;;
"sistem,""Uredba tudi določa, da lahko zavezanci zahtevo za namenitev donacije s svojimi podatki in podatki o izbranih upravičencih (ime oziroma naziv, naslov, davčna številka, številka transakcijskega računa) poda kadar koli tudi prek sistema eDavki ter pisno ali ustno na zapisnik pri davčnem organu."",""ska oljarna z več kot stoletno tradicijo proizvodnje in prodaje visoko kakovostnih jedilnih rastlinskih olj. anes je Tovarna olja GEA delniška družba, ki ima poslovanje organizirano skladu z zahtevami standardov: ISO 9001:2000, ISO 14001 in sistemom HACCP. snovne proizvodne dejavnosti so: rastlinska olja (GEA, CEKIN, ZVEZDA, SONČNI CVET), delikatesni proizvodi (margarine GEA in CEKIN, majoneze, solate in omake GEA), začimbe (ocvrta čebula KARAKTER) in krmila (stranski proizvodi pri pridobivanju olj). ajvečji del proizvodnje predstavljajo visoko kakovostni, zdravju prijazni proizvodi."",,,";;;;;;;;
"sistem,""sferni trikotnik na nebesni krogli, ki ima za oglišča zenit, (severni) nebesni pol in vesoljsko telo (npr. zvezda)";" ima zelo pomembno vlogo pri določevanju nebesnih koordinat in njihovem pretvarjanju iz enega v drug nebesni koordinatni sistem"",""Odbor za reforme predlaga sistem odloženih šolnin, po katerem bi država financirala šolnine vsem, ki bi se vpisali na določen visokošolski program."",,,";;;;;;;
"sistem,""Če je antifriz rjave barve (mešanica), je nujno potrebno hladilni sistem očistiti in zamenjati celotno količino antifriza."",""login, logout, logon, logoff - Login - proces identificiranja uporabnika na on-line sistemu."",,,";;;;;;;;
"sistem,""jojojojoj, koliko kritikee...spet kritizirajo tisti, ki pojma nimajo...kriva je zavarovalnica in nihče drug...dobičke si delijo...namesto, da bi jih dali nazaj v zdravstveni sistem....zdravnikov pa bo itak zmanjkalo v 5 letih..potem pa bomo videli kako jih bomo šele spoštovali...očitno se mora to zgoditi, ker jih niste vredni tisti, ki kritizirate.."",""Tokrat iz vrste razlogov ni jasno, ali se bo kriza iztekla v začetek novega kapitalskega akumulacijskega cikla ali pa bo prišlo do razpada svetovnega kapitalističnega sistema in do prehoda v kakšen drug sistem."",,,";;;;;;;;
"sistem,""Kar precej krogov je nato njegov poškodovani Peugeot vlekel po asfaltu izpušni sistem, dokler ga organizator ni končno poklical v bokse."",""Prevelike količine glukoze v krvi poleg izcedka iz nožnice povzročijo tudi oslabelost imunskega sistema in nenehno potrebo po uriniranju, zato lahko znamenja zamenjamo za glivično okužbo ali urinarno infekcijo."",,,";;;;;;;;
"sistem,""Gornje sklepanje seveda sloni na oceni, da je bila v nekdanjem sistemu med samoupravnimi gospodarskimi organizacijami in tistimi posebnega družbenega pomena (v družbenih in tudi nekaterih gospodarskih dejavnostih) kljub vsemu vendarle podobna pomembna razlika kot danes med dejavnostmi zasebnopravnega in javnopravnega sektorja."",""Zato se mi zdi, da je dobro bolj premisliti, mislim bolj natančno opredeljenemu sistemu tega sistema izobraževanja odraslih oziroma bolj natančno opredeliti, v čem se razlikuje tudi na tej stopnji izobraževanja odraslih in česa vse ni treba ali pa je drugače urejeno pri izobraževanju odraslih kot je za dijake, normalne, da tako rečem, za mladino."",,,";;;;;;;;
